country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
USA,62.59846,-145.95253,319.29,1.57,1.24,2025-06-22,1,Aqua,MODIS,76,6.1NRT,295.76,27.19,D
USA,62.76006,-145.02791,311.48,1.7,1.28,2025-06-22,1,Aqua,MODIS,62,6.1NRT,293.45,16.53,D
USA,62.76895,-145.06412,311.27,1.7,1.28,2025-06-22,1,Aqua,MODIS,57,6.1NRT,293.86,16.37,D
USA,63.09373,-141.25697,322.86,2.36,1.48,2025-06-22,1,Aqua,MODIS,80,6.1NRT,300.42,49.62,D
USA,63.09587,-141.20914,357.84,2.37,1.49,2025-06-22,1,Aqua,MODIS,99,6.1NRT,302.59,262.55,D
USA,63.09797,-141.16216,373.94,2.38,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,302.09,437.11,D
USA,63.10667,-141.2233,367.54,2.37,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,306.25,354.54,D
USA,63.10866,-141.17545,370.06,2.38,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,302.89,384.91,D
USA,63.10887,-141.21457,395.87,2.37,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,307.64,783.18,D
USA,63.11069,-141.12592,318.67,2.39,1.49,2025-06-22,1,Aqua,MODIS,51,6.1NRT,291.45,44.2,D
USA,63.11109,-141.16548,364.43,2.38,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,299.18,326.56,D
USA,63.11979,-141.22624,391.46,2.37,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,305.82,702.02,D
USA,63.11981,-141.26497,319.85,2.36,1.48,2025-06-22,1,Aqua,MODIS,77,6.1NRT,299.54,38.84,D
USA,63.12189,-141.17593,367.5,2.38,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,298.84,360.05,D
USA,63.12204,-141.21642,374.37,2.37,1.49,2025-06-22,1,Aqua,MODIS,100,6.1NRT,303.34,441.74,D
USA,63.12432,-141.16649,325.11,2.38,1.49,2025-06-22,1,Aqua,MODIS,21,6.1NRT,297.83,58.82,D
USA,63.24237,-143.1642,336.74,2.02,1.38,2025-06-22,1,Aqua,MODIS,89,6.1NRT,302.79,93.93,D
USA,63.24461,-143.12482,360.6,2.02,1.39,2025-06-22,1,Aqua,MODIS,100,6.1NRT,304.56,233.69,D
USA,63.25453,-143.16789,311.35,2.02,1.38,2025-06-22,1,Aqua,MODIS,65,6.1NRT,297.94,17.28,D
USA,63.25701,-143.12473,315.55,2.02,1.39,2025-06-22,1,Aqua,MODIS,71,6.1NRT,298.4,26.33,D
USA,63.36603,-141.43784,342.1,2.34,1.48,2025-06-22,1,Aqua,MODIS,89,6.1NRT,302.27,134.32,D
USA,63.36954,-141.43419,359.85,2.34,1.48,2025-06-22,1,Aqua,MODIS,99,6.1NRT,303.59,270.92,D
USA,63.3792,-141.43777,388.68,2.34,1.48,2025-06-22,1,Aqua,MODIS,100,6.1NRT,309.67,637.26,D
USA,63.38273,-141.4342,386.2,2.34,1.48,2025-06-22,1,Aqua,MODIS,100,6.1NRT,308.79,592.46,D
USA,63.39359,-141.9825,314.09,2.23,1.45,2025-06-22,1,Aqua,MODIS,70,6.1NRT,300.8,23.01,D
USA,63.39578,-141.93697,370.52,2.24,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,305.3,363.77,D
USA,63.39785,-141.89349,349.12,2.25,1.45,2025-06-22,1,Aqua,MODIS,95,6.1NRT,303.13,174.76,D
USA,63.40185,-141.80844,336.69,2.27,1.46,2025-06-22,1,Aqua,MODIS,78,6.1NRT,294.06,107.68,D
USA,63.40625,-141.98787,343.21,2.23,1.45,2025-06-22,1,Aqua,MODIS,93,6.1NRT,304.67,139.52,D
USA,63.40855,-141.94061,377.8,2.24,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,309.3,447.25,D
USA,63.41073,-141.8952,376.2,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,302.62,424.83,D
USA,63.41893,-141.99283,339.99,2.23,1.45,2025-06-22,1,Aqua,MODIS,91,6.1NRT,303.6,119.86,D
USA,63.42125,-141.94557,349.15,2.24,1.45,2025-06-22,1,Aqua,MODIS,95,6.1NRT,309.46,171.18,D
USA,63.42349,-141.89951,369.48,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,313.95,351.66,D
USA,63.4257,-141.85378,439.22,2.26,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,318.65,1888.67,D
USA,63.42781,-141.80971,388.65,2.27,1.46,2025-06-22,1,Aqua,MODIS,87,6.1NRT,296.21,611.27,D
USA,63.43388,-141.9601,343.78,2.24,1.45,2025-06-22,1,Aqua,MODIS,93,6.1NRT,308.28,141.13,D
USA,63.43389,-141.95157,362.51,2.24,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,310.46,281.2,D
USA,63.43597,-141.91435,373.11,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,323.17,387.1,D
USA,63.43616,-141.90556,396.69,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,326.71,735.53,D
USA,63.43807,-141.86794,480.21,2.26,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,400.07,3878.48,D
USA,63.43843,-141.85901,506.07,2.26,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,400.07,5741.14,D
USA,63.44013,-141.82219,460.66,2.27,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,311.46,2816.14,D
USA,63.44059,-141.81442,439.48,2.27,1.46,2025-06-22,1,Aqua,MODIS,94,6.1NRT,302.79,1907.86,D
USA,63.4465,-141.95818,320.87,2.24,1.45,2025-06-22,1,Aqua,MODIS,32,6.1NRT,299.74,38.86,D
USA,63.44858,-141.92175,370.17,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,305.86,358.17,D
USA,63.44875,-141.91295,379.33,2.25,1.45,2025-06-22,1,Aqua,MODIS,100,6.1NRT,305.56,465.69,D
USA,63.45078,-141.87387,433.19,2.26,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,311.81,1674.91,D
USA,63.45114,-141.86462,429.28,2.26,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,307.09,1545.91,D
USA,63.45295,-141.82608,389.14,2.27,1.46,2025-06-22,1,Aqua,MODIS,100,6.1NRT,295.03,619.98,D
USA,63.45346,-141.81747,356.28,2.27,1.46,2025-06-22,1,Aqua,MODIS,98,6.1NRT,292.85,230.16,D
